Filename: C:\Program Files\Exelis\ENVI51\classic\data\can_tmr.img
Dims: Full Scene (256,000 points)

Basic Stats	  Min	  Max	     Mean	    Stdev
           	   26	  11500	 130943	  4.4922	 51.1496
           	   27	  11445	 142388	  4.4707	 55.6203
           	   28	  11958	 154346	  4.6711	 60.2914
           	   29	  12717	 167063	  4.9676	 65.2590
           	   30	  11330	 178393	  4.4258	 69.6848
           	   31	  10202	 188595	  3.9852	 73.6699
           	   32	   9334	 197929	  3.6461	 77.3160
           	   33	   9080	 207009	  3.5469	 80.8629
           	   34	   8485	 215494	  3.3145	 84.1773
           	   35	   7036	 222530	  2.7484	 86.9258
           	   36	   5657	 228187	  2.2098	 89.1355
           	   37	   4883	 233070	  1.9074	 91.0430
           	   38	   3909	 236979	  1.5270	 92.5699
           	   39	   2733	 239712	  1.0676	 93.6375
           	   40	      0	 239712	  0.0000	 93.6375
           	   41	   2182	 241894	  0.8523	 94.4898
           	   42	   1796	 243690	  0.7016	 95.1914
           	   43	   1438	 245128	  0.5617	 95.7531
           	   44	   1271	 246399	  0.4965	 96.2496
           	   45	   1084	 247483	  0.4234	 96.6730
           	   46	   1025	 248508	  0.4004	 97.0734
           	   47	    886	 249394	  0.3461	 97.4195
           	   48	    821	 250215	  0.3207	 97.7402
           	   49	    722	 250937	  0.2820	 98.0223
           	   50	    671	 251608	  0.2621	 98.2844
           	   51	    614	 252222	  0.2398	 98.5242
           	   52	    606	 252828	  0.2367	 98.7609
           	   53	    524	 253352	  0.2047	 98.9656
           	   54	    492	 253844	  0.1922	 99.1578
           	   55	    393	 254237	  0.1535	 99.3113
           	   56	    324	 254561	  0.1266	 99.4379
           	   57	    277	 254838	  0.1082	 99.5461
           	   58	    231	 255069	  0.0902	 99.6363
           	   59	      0	 255069	  0.0000	 99.6363
           	   60	    205	 255274	  0.0801	 99.7164
           	   61	    171	 255445	  0.0668	 99.7832
           	   62	    132	 255577	  0.0516	 99.8348
           	   63	    100	 255677	  0.0391	 99.8738
           	   64	     66	 255743	  0.0258	 99.8996
           	   65	     55	 255798	  0.0215	 99.9211
           	   66	     38	 255836	  0.0148	 99.9359
           	   67	     38	 255874	  0.0148	 99.9508
           	   68	     31	 255905	  0.0121	 99.9629
           	   69	     20	 255925	  0.0078	 99.9707
           	   70	      7	 255932	  0.0027	 99.9734
           	   71	     10	 255942	  0.0039	 99.9773
           	   72	      8	 255950	  0.0031	 99.9805
           	   73	      3	 255953	  0.0012	 99.9816
           	   74	      8	 255961	  0.0031	 99.9848
           	   75	      5	 255966	  0.0020	 99.9867
           	   76	      3	 255969	  0.0012	 99.9879
           	   77	      6	 255975	  0.0023	 99.9902
           	   78	      3	 255978	  0.0012	 99.9914
           	   79	      0	 255978	  0.0000	 99.9914
           	   80	      1	 255979	  0.0004	 99.9918
           	   81	      0	 255979	  0.0000	 99.9918
           	   82	      1	 255980	  0.0004	 99.9922
           	   83	      5	 255985	  0.0020	 99.9941
           	   84	      1	 255986	  0.0004	 99.9945
           	   85	      2	 255988	  0.0008	 99.9953
           	   86	      3	 255991	  0.0012	 99.9965
           	   87	      3	 255994	  0.0012	 99.9977
           	   88	      0	 255994	  0.0000	 99.9977
           	   89	      0	 255994	  0.0000	 99.9977
           	   90	      1	 255995	  0.0004	 99.9980
           	   91	      0	 255995	  0.0000	 99.9980
           	   92	      1	 255996	  0.0004	 99.9984
           	   93	      1	 255997	  0.0004	 99.9988
           	   94	      1	 255998	  0.0004	 99.9992
           	   95	      0	 255998	  0.0000	 99.9992
           	   96	      0	 255998	  0.0000	 99.9992
           	   97	      0	 255998	  0.0000	 99.9992
           	   98	      1	 255999	  0.0004	 99.9996
           	   99	      0	 255999	  0.0000	 99.9996
           	  100	      1	 256000	  0.0004	100.0000

Histogram  	   DN	   Npts	  Total	 Percent	 Acc Pct
Band 4     	    0	      2	      2	  0.0008	  0.0008
           	    1	      7	      9	  0.0027	  0.0035
           	    2	     12	     21	  0.0047	  0.0082
           	    3	     56	     77	  0.0219	  0.0301
           	    4	    326	    403	  0.1273	  0.1574
           	    5	   1227	   1630	  0.4793	  0.6367
           	    6	   1372	   3002	  0.5359	  1.1727
           	    7	    892	   3894	  0.3484	  1.5211
           	    8	    751	   4645	  0.2934	  1.8145
           	    9	    653	   5298	  0.2551	  2.0695
           	   10	    686	   5984	  0.2680	  2.3375
           	   11	    776	   6760	  0.3031	  2.6406
           	   12	      0	   6760	  0.0000	  2.6406
           	   13	   1859	   8619	  0.7262	  3.3668
           	   14	      0	   8619	  0.0000	  3.3668
           	   15	   2309	  10928	  0.9020	  4.2688
           	   16	   1367	  12295	  0.5340	  4.8027
           	   17	   1547	  13842	  0.6043	  5.4070
           	   18	   1684	  15526	  0.6578	  6.0648
           	   19	   1857	  17383	  0.7254	  6.7902
           	   20	   2164	  19547	  0.8453	  7.6355
           	   21	   2381	  21928	  0.9301	  8.5656
           	   22	   2740	  24668	  1.0703	  9.6359
           	   23	   3029	  27697	  1.1832	 10.8191
           	   24	   3369	  31066	  1.3160	 12.1352
           	   25	      0	  31066	  0.0000	 12.1352
           	   26	   8277	  39343	  3.2332	 15.3684
           	   27	      0	  39343	  0.0000	 15.3684
           	   28	  12097	  51440	  4.7254	 20.0938
           	   29	      0	  51440	  0.0000	 20.0938
           	   30	  17622	  69062	  6.8836	 26.9773
           	   31	      0	  69062	  0.0000	 26.9773
